City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,broome,42.2506,-75.833,13.21,80,100,5.14,US,1684970959
149,jamestown,42.097,-79.2353,14.77,71,20,5.14,US,1684970959
150,verkhnevilyuysk,63.4453,120.3167,7.32,41,35,2.71,RU,1684970959
151,aleksandrovskoye,44.7142,43.0008,17.24,84,79,1.79,RU,1684970960
152,tralee,52.2704,-9.7026,10.15,97,18,1.2,IE,1684970960
153,shache,38.4167,77.2406,21.51,40,100,1.57,CN,1684970960
154,matoury,4.8483,-52.3317,25.98,89,0,1.03,GF,1684970863
155,cabo san lucas,22.8909,-109.9124,33.12,29,75,5.14,MX,1684970846
156,acarau,-2.8856,-40.12,25.85,82,89,5.38,BR,1684970899
157,kununurra,-15.7667,128.7333,16.99,77,33,0.0,AU,1684970930
158,auki,-8.7676,160.7034,29.08,71,44,0.33,SB,1684970961
159,fortuna,40.5982,-124.1573,17.18,74,20,6.69,US,1684970962
160,saipan,15.1355,145.701,28.0,79,100,19.31,MP,1684970962
161,tolanaro,-25.0319,46.9987,17.04,94,40,0.0,MG,1684970962
162,namie,37.4833,141.0,19.43,52,70,0.59,JP,1684970962
163,suva,-18.1416,178.4415,23.71,83,75,2.06,FJ,1684970962
164,punta arenas,-53.15,-70.9167,3.06,81,75,6.17,CL,1684970865
165,san pedro pochutla,15.7333,-96.4667,30.63,58,79,3.04,MX,1684970963
166,kone,-21.0595,164.8658,23.97,46,14,2.93,NC,1684970963
167,changuinola,9.4333,-82.5167,27.91,78,55,1.04,PA,1684970964
168,ilulissat,69.2167,-51.1,1.01,47,75,3.6,GL,1684970964
169,kurtamysh,54.9103,64.4319,15.68,41,9,2.08,RU,1684970964
170,nyzhni sirohozy,46.8484,34.3804,15.47,91,86,2.59,UA,1684970964
171,constantia,44.1833,28.65,15.39,80,14,0.84,RO,1684970965
172,st. john's,47.5649,-52.7093,8.66,82,20,3.09,CA,1684970939
173,midvagur,62.0511,-7.1939,6.46,81,75,9.77,FO,1684970965
174,road town,18.4167,-64.6167,28.05,74,20,2.57,VG,1684970965
175,tazacorte,28.629,-17.9293,19.54,87,75,1.54,ES,1684970966
176,vadso,70.0744,29.7487,10.49,57,20,9.77,NO,1684970966
177,gualaceo,-2.9,-78.7833,18.81,92,98,1.4,EC,1684970966
